36,40,0.000959496,2.4521e-08,0.909213,1
44,48,0.000217424,6.03466e-09,1.02135,1
60,64,1.4421e-05,4.33606e-10,1.03545,2
28,32,0.00494889,1.19142e-07,1.01745,5
40,44,0.000449959,1.21233e-08,1.07535,8
64,68,7.54912e-06,2.27512e-10,1.05546,8
20,24,0.0334167,7.24429e-07,0.973986,9
32,36,0.00212591,5.40972e-08,1.09059,6
12,16,0.388656,7.19715e-06,0.936757,17
68,70,2.30441e-06,1.32012e-10,0.905728,16
48,52,0.000107618,3.08432e-09,0.93586,10
24,28,0.0122979,2.79693e-07,0.946837,2
52,56,5.42918e-05,1.58527e-09,1.07057,14
56,60,2.78123e-05,8.17353e-10,0.997347,1
16,20,0.103226,2.06519e-06,0.924101,4
